seller_id,seller_state,orders,merchandise_value_brl,late_delivery_rate_pct,average_review_score,operational_status
128639473a139ac0f3e5f5ade55873a5,PR,533,11908.85,6.19,4.17,monitor
1b4c3a6f53068f0b6944d2d005c9fc89,SC,113,14760.3,6.19,4.22,monitor
d91fb3b7d041e83b64a00a3edfb37e4f,SP,535,40889.74,6.17,4.07,monitor
5dceca129747e92ff8ef7a997dc4f8ca,SP,324,112085.63,6.17,3.98,monitor
f457c46070d02cadd8a68551231220dd,PR,196,18884.3,6.12,3.85,monitor
834f3294fba9f932f56edc879193f925,SP,66,39907.5,6.06,4.55,monitor
6d66611d7c44cc30ce351abc49a68421,SP,166,13593.4,6.02,3.93,monitor
09f952a5f58d2285b0372551ae8f9b01,SP,50,11821.5,6.0,3.84,monitor
ceaec5548eefc6e23e6607c5435102e7,SP,201,52487.18,5.97,4.15,monitor
5f2684dab12e59f83bef73ae57724e45,SP,67,8870.97,5.97,3.79,monitor
8cbac7e12637ed9cffa18c7875207478,SC,67,2990.98,5.97,4.12,monitor
cc419e0650a3c5ba77189a1882b7556a,SP,1697,103634.51,5.95,4.08,monitor
0241d4d5d36f10f80c644447315af0bd,PR,238,31397.7,5.88,4.35,monitor
79ebd9a61bac3eaf882805ed4ecfa12a,PR,136,15092.79,5.88,4.04,monitor
18a349e75d307f4b4cc646a691ed4216,SP,119,8631.03,5.88,3.47,monitor
dbd66278cbfe1aa1000f90a217ca4695,SP,85,4928.9,5.88,4.51,monitor
e333046ce6517bd8bb510291d44f0130,SP,68,7268.0,5.88,4.34,monitor
95f83f51203c626648c875dd41874c7f,MG,51,3147.56,5.88,3.73,monitor
7a67c85e85bb2ce8582c35f2203ad736,SP,1159,141715.54,5.87,4.23,monitor
3d871de0142ce09b7081e2b9d1733cb1,SP,1076,94508.2,5.86,4.14,monitor
6edacfd9f9074789dad6d62ba7950b9c,SP,207,13137.2,5.8,4.35,monitor
5a8e7d5003a1f221f9e1d6e411de7c23,SP,138,11112.0,5.8,4.14,monitor
cca3071e3e9bb7d12640c9fbe2301306,SP,711,63984.99,5.77,3.81,monitor
9b013e03b2ab786505a1d3b5c0756754,SP,174,9027.4,5.75,4.14,monitor
d2374cbcbb3ca4ab1086534108cc3ab7,SP,523,21196.02,5.74,3.74,monitor
1da3aeb70d7989d1e6d9b0e887f97c23,SP,264,8733.53,5.68,4.15,monitor
2ff97219cb8622eaf3cd89b7d9c09824,SP,88,4429.0,5.68,4.52,monitor
dd2bdf855a9172734fbc3744021ae9b9,MG,106,10676.9,5.66,3.8,monitor
7202e2ba20579a9bd1acb29e61fe71f6,SP,53,12750.5,5.66,3.87,monitor
537eb890efff034a88679788b647c564,RJ,160,4679.7,5.63,4.22,monitor
25e6ffe976bd75618accfe16cefcbd0d,SP,107,11591.61,5.61,4.44,monitor
a1043bafd471dff536d0c462352beb48,MG,715,101483.16,5.59,4.23,monitor
87142160b41353c4e5fca2360caf6f92,RS,305,31095.98,5.57,4.4,monitor
d9a84e1403de8da0c3aa531d6d108ba6,SP,54,1425.2,5.56,4.52,monitor
0c8380b62e38e8a1e6adbeba7eb9688c,MG,182,17348.79,5.49,4.02,monitor
81a1104df0f08b59c68aa5b03cfe398e,PR,73,9420.88,5.48,4.26,monitor
1c129092bf23f28a5930387c980c0dfc,SP,201,9553.62,5.47,4.23,monitor
dc317f341ab0e22f39acbd9dbf9b4a1f,RS,55,18988.4,5.45,4.15,monitor
7e93a43ef30c4f03f38b393420bc753a,SP,332,172583.88,5.42,4.24,monitor
1a3df491d1c4f1589fc2b934ada68bf2,SC,167,23302.7,5.39,4.19,monitor
dee656f0f566ed1aa85bd137c943f08f,SP,93,6271.98,5.38,4.33,monitor
7d456afc660226829370f3173d14520c,SP,56,8338.25,5.36,4.36,monitor
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,393,12264.16,5.34,3.95,monitor
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,471,29969.01,5.31,4.09,monitor
8a432f4e5b471f8da497d7dc517666e2,SP,95,7555.0,5.26,4.16,monitor
516e7738bd8f735ac19a010ee5450d8d,RJ,76,6643.09,5.26,4.57,monitor
8f119a0aee85c0c8fc534629734e94fd,SP,76,3633.78,5.26,4.24,monitor
3078096983cf766a32a06257648502d1,SP,57,8095.44,5.26,4.32,monitor
bfd27a966d91cfaafdb25d076585f0da,SP,117,19921.0,5.13,4.22,monitor
670c26e0f1bf8d0576271d5cfaec6d2b,PR,78,6341.6,5.13,4.27,monitor
1f9ab4708f3056ede07124aad39a2554,SP,78,13602.73,5.13,4.06,monitor
f8db351d8c4c4c22c6835c19a46f01b0,SP,666,50498.7,5.11,4.22,monitor
f80edd2c5aaa505cc4b0a3b219abf4b8,SP,118,8978.3,5.08,4.09,monitor
05ff92fedb5be47920fea08e501238b9,RS,59,21992.78,5.08,4.24,monitor
3bdff180c7e1f6551a643b99c265a120,SP,59,3114.9,5.08,4.03,monitor
282f23a9769b2690c5dda22e316f9941,MG,99,6505.08,5.05,4.33,monitor
9f505651f4a6abe901a56cdc21508025,SP,397,26361.82,5.04,4.34,monitor
813348c996469b40f2e028d5429d3495,SP,179,11205.83,5.03,3.99,monitor
2528513dd95219a6013d4d05176e391a,SP,160,32660.2,5.0,3.93,monitor
f7720c4fa8e3aba4546301ab80ea1f1b,PR,60,2083.45,5.0,4.2,monitor
7178f9f4dd81dcef02f62acdf8151e01,SC,203,37070.4,4.93,4.03,monitor
01cf7e3d21494c41fb86034f2e714fa1,PR,61,9729.36,4.92,4.16,monitor
0c7533c71df861ec58ad7ff999ed0e8d,SP,61,2989.3,4.92,4.15,monitor
1e8b33f18b4f7598d87f5cbee2282cc2,SP,123,17309.06,4.88,4.33,monitor
4e7c18b98d84e05cbae3ff0ff03846c2,SP,82,9177.9,4.88,4.15,monitor
00fc707aaaad2d31347cf883cd2dfe10,PR,103,12684.9,4.85,4.05,monitor
cce6ab8d1682639fe45ab70234f1665f,SP,62,2482.7,4.84,4.45,monitor
7299e27ed73d2ad986de7f7c77d919fa,MG,337,34225.43,4.75,4.43,monitor
a3a38f4affed601eb87a97788c949667,SC,254,26533.32,4.72,4.35,monitor
7008613ea464bad5cb9b83456e1e6a8f,SC,127,7777.0,4.72,4.24,monitor
1838dd9b8977065acf51d95e0053ea7a,MG,64,2820.3,4.69,4.27,monitor
